,life_expect,Electric_consumption,gdp_per_capita,internet_usage,open_defecation,drinking_water_services,adult_obesity,cluster
224,1.2337101625331102,0.9226422241092275,1.3843661339082256,1.9903352887514225,-0.5482577306579234,0.7479876169260242,0.9117525531007133,0
225,1.1989366281826215,0.8609205237368339,1.4499444755657915,1.9922419956879236,-0.5482577306579234,0.7479876407916969,0.9604663448465836,0
231,-1.817650246486273,-0.8236906305970996,-0.8427451309372272,-1.0628431188881426,3.3425529977050155,-1.3989138697730532,-1.4630447945104472,1
232,-1.7850119794407837,-0.8223281664490326,-0.8386663779545805,-1.0578668993302718,3.298885188476402,-1.3893605965385742,-1.438687898637512,1
233,-1.742947498086128,-0.821589792923299,-0.8357399156017739,-1.0456387461192849,3.2534666453291927,-1.379102932509302,-1.4143310027645772,1
234,-1.6945203220727845,-0.8200952859211585,-0.8334668400582698,-1.03669323965071,3.2051031012081728,-1.36760287836308,-1.389974106891642,1
235,-1.6413800389048578,-0.8208959469224548,-0.8294104572019584,-1.0283660299984017,3.1569852258298123,-1.3563892622979556,-1.3656172110187073,1
236,-1.586236685196234,-0.819641999420179,-0.8274853684917921,-1.025179029179765,3.109170586997657,-1.3454883507600621,-1.3412603151457723,1
237,-1.5318002975607965,-0.818879376160794,-0.8231517314641099,-1.0155693527411458,3.0616331515214443,-1.3348868460236578,-1.316903419272837,1
238,-1.4801917742181092,-0.8185933186017894,-0.8167695112941992,-1.006488280289057,3.0143482477324084,-1.3245728851445364,-1.2925465233999023,1
239,-1.4331785303511408,-0.8175749413499789,-0.8121827218932196,-1.0043273691708927,2.967345343751636,-1.314558878272694,-1.2560111795904998,1
240,-1.3913497043542147,-0.8161153646751209,-0.8120343717193742,-0.9902814469028265,2.9206784617777917,-1.3048680540950202,-1.2316542837175648,1
241,-1.354940951585059,-0.8157808101348523,-0.8114494880343582,-0.9582279319833935,2.8742961464433834,-1.2954762406623093,-1.1951189399081623,1
242,-1.322891822933892,-0.8141155195464804,-0.808769618409258,-0.9215528380633555,2.828200329933026,-1.2863834124041962,-1.1585835960987598,1
